claim_id,worker_id,city,zone,date,claim_type,inactive_hours,payout_amount,rainfall_mm,aqi,temperature_c,gps_consistent,activity_coherent,timing_correlated,device_clean,confidence_score,is_legitimate,status
CLM-100000,GK-10330,Mumbai,Thane,2025-12-28,Extreme Heat,8.0,437.42,31.0,20,25.3,True,True,True,True,100,True,approved
CLM-100001,GK-10402,Chennai,Chromepet,2025-11-20,Heavy Rainfall,9.8,711.98,30.7,104,28.4,True,True,True,True,100,True,approved
CLM-100002,GK-10085,Mumbai,Borivali,2025-12-28,Severe AQI,5.2,242.09,31.0,20,25.3,True,False,False,True,73,True,review
CLM-100003,GK-10039,Chennai,Guindy,2025-10-20,Heavy Rainfall,3.7,161.22,47.3,101,37.4,True,True,True,True,100,True,approved
CLM-100004,GK-10077,Mumbai,Dadar,2025-12-28,Flooding,5.4,243.35,31.0,20,25.3,False,True,True,True,81,True,approved
CLM-100005,GK-10197,Delhi,Janakpuri,2026-01-12,Extreme Heat,3.0,157.86,0.0,207,25.4,False,False,True,False,36,False,rejected
CLM-100006,GK-10193,Chennai,T. Nagar,2025-12-06,Heavy Rainfall,5.1,100.65,43.7,104,27.8,True,True,True,True,100,True,approved
CLM-100007,GK-10239,Mumbai,Goregaon,2025-12-28,Extreme Heat,4.4,193.64,31.0,20,25.3,True,True,True,True,100,True,approved
CLM-100008,GK-10215,Delhi,Chandni Chowk,2026-01-22,Severe AQI,7.3,388.01,0.0,364,33.3,True,True,True,True,100,True,approved
CLM-100009,GK-10210,Mumbai,Thane,2026-03-21,Civic Disruption,9.1,504.42,0.0,52,33.1,False,True,False,True,49,False,rejected
CLM-100010,GK-10337,Mumbai,Malad,2025-12-28,Flooding,4.0,234.26,31.0,20,25.3,True,False,True,True,83,True,approved
CLM-100011,GK-10484,Mumbai,Bandra,2025-12-28,Extreme Heat,5.2,280.42,31.0,20,25.3,True,True,True,True,100,True,approved
CLM-100012,GK-10113,Delhi,Nehru Place,2025-11-24,Flooding,6.7,239.71,0.0,317,38.9,True,True,True,True,100,True,approved
CLM-100013,GK-10227,Delhi,Saket,2025-12-14,Severe AQI,3.8,201.26,0.0,443,19.2,True,True,True,True,100,True,approved
CLM-100014,GK-10357,Delhi,Dwarka,2025-10-28,Extreme Heat,6.3,235.09,0.0,90,33.3,False,False,False,False,18,False,rejected
CLM-100015,GK-10188,Delhi,Dwarka,2025-12-03,Severe AQI,7.3,309.95,0.0,386,33.4,True,True,True,True,100,True,approved
CLM-100016,GK-10315,Chennai,Adyar,2025-10-28,Extreme Heat,6.2,225.09,38.6,110,29.8,True,True,True,True,100,True,approved
CLM-100017,GK-10342,Delhi,Connaught Place,2025-12-27,Severe AQI,4.2,226.61,0.0,386,29.5,True,True,True,True,100,True,approved
CLM-100018,GK-10121,Delhi,Chandni Chowk,2026-01-12,Severe AQI,8.3,348.15,0.0,364,21.1,False,False,True,True,63,True,review
CLM-100019,GK-10056,Mumbai,Andheri,2025-12-28,Severe AQI,3.0,159.76,31.0,20,25.3,True,True,True,True,100,True,approved
CLM-100020,GK-10305,Chennai,T. Nagar,2025-10-01,Civic Disruption,8.6,361.23,33.8,37,31.3,True,True,True,True,100,True,approved
CLM-100021,GK-10039,Chennai,Guindy,2025-11-04,Extreme Heat,4.2,183.01,37.8,115,32.9,True,True,False,True,89,True,approved
CLM-100022,GK-10157,Delhi,Pitampura,2025-11-12,Severe AQI,4.2,113.77,0.0,370,42.2,True,True,True,True,100,True,approved
CLM-100023,GK-10484,Mumbai,Bandra,2026-02-17,Heavy Rainfall,8.6,463.77,0.0,104,35.9,False,False,False,True,44,False,rejected
CLM-100024,GK-10092,Mumbai,Borivali,2025-12-28,Extreme Heat,7.8,529.16,31.0,20,25.3,True,True,True,True,100,True,approved
CLM-100025,GK-10148,Delhi,Janakpuri,2025-12-16,Severe AQI,4.5,397.95,0.0,399,28.9,False,False,False,False,50,False,review
CLM-100026,GK-10167,Delhi,Lajpat Nagar,2026-01-05,Severe AQI,4.4,368.83,0.0,379,33.8,True,True,True,True,100,True,approved
CLM-100027,GK-10348,Chennai,Anna Nagar,2025-12-07,Heavy Rainfall,5.1,126.05,40.3,31,26.2,True,True,True,True,100,True,approved
CLM-100028,GK-10276,Delhi,Saket,2025-12-05,Severe AQI,5.4,230.86,0.0,353,35.0,True,True,True,True,100,True,approved
CLM-100029,GK-10002,Mumbai,Bandra,2025-12-28,Extreme Heat,9.1,521.74,31.0,20,25.3,True,True,True,True,100,True,approved
CLM-100030,GK-10251,Chennai,Chromepet,2025-10-21,Heavy Rainfall,9.3,513.46,47.1,101,31.1,True,True,True,True,100,True,approved
CLM-100031,GK-10221,Mumbai,Kurla,2025-12-28,Heavy Rainfall,7.5,476.57,31.0,20,25.3,True,False,True,True,84,True,approved
