city,zone,elevation_m,drainage_score,road_density,historical_flood_events,historical_disruption_days,avg_traffic_density,population_density,restaurant_density,avg_order_demand,latitude,longitude
Chennai,Adyar,26.5,0.4,0.9,11,19,0.48,19735.0,22.0,260.0,13.028936,80.290724
Chennai,Velachery,43.6,0.22,0.47,15,27,0.73,15366.0,25.0,82.0,13.019197,80.157338
Chennai,T. Nagar,89.9,0.88,0.79,3,9,0.41,5953.0,59.0,299.0,12.952695,80.201656
Chennai,Mylapore,30.7,0.84,0.72,2,11,0.46,14348.0,70.0,173.0,13.052309,80.272441
Chennai,Anna Nagar,74.9,0.82,0.83,2,11,0.9,12778.0,26.0,254.0,12.914126,80.289343
Chennai,Guindy,21.8,0.92,0.69,2,8,0.83,12970.0,99.0,107.0,12.929303,80.157715
Chennai,Porur,47.1,0.34,0.74,15,25,0.78,22490.0,70.0,191.0,13.063096,80.262646
Chennai,Tambaram,10.9,0.23,0.44,8,44,0.61,14960.0,65.0,290.0,12.949236,80.264131
Chennai,Sholinganallur,62.5,0.68,0.71,0,9,0.93,7486.0,56.0,63.0,12.946365,80.24309
Chennai,Chromepet,87.3,0.86,0.63,1,2,0.9,11054.0,78.0,169.0,13.119591,80.269615
Delhi,Connaught Place,92.1,0.67,0.73,1,5,0.81,19848.0,55.0,53.0,28.565358,77.16466
Delhi,Dwarka,42.9,0.45,0.45,19,28,0.92,8649.0,47.0,104.0,28.715083,77.24988
Delhi,Rohini,19.0,0.4,0.49,12,45,0.61,12542.0,31.0,269.0,28.669711,77.155988
Delhi,Saket,39.4,0.61,0.57,2,8,0.69,10554.0,73.0,153.0,28.579079,77.287812
Delhi,Lajpat Nagar,41.0,0.74,0.59,1,8,0.53,9350.0,37.0,266.0,28.691771,77.2362
Delhi,Karol Bagh,56.6,0.78,0.53,1,2,0.44,11621.0,55.0,64.0,28.522058,77.152605
Delhi,Chandni Chowk,19.6,0.32,0.46,16,15,0.52,10233.0,16.0,132.0,28.518055,77.240692
Delhi,Nehru Place,50.9,0.71,0.46,0,7,0.52,9654.0,99.0,259.0,28.503816,77.223367
Delhi,Janakpuri,40.5,0.64,0.75,0,10,0.47,13875.0,67.0,189.0,28.744407,77.257149
Delhi,Pitampura,81.9,0.72,0.4,0,4,0.8,24995.0,47.0,296.0,28.535427,77.159302
Mumbai,Andheri,10.2,0.34,0.8,14,43,0.59,23125.0,59.0,166.0,19.196759,72.833188
Mumbai,Bandra,81.9,0.69,0.54,1,12,0.73,23039.0,62.0,212.0,19.194149,72.853712
Mumbai,Dadar,41.7,0.33,0.49,16,17,0.59,9923.0,31.0,121.0,19.045233,72.906801
Mumbai,Borivali,66.4,0.83,0.57,0,5,0.82,7592.0,61.0,119.0,19.131902,72.862073
Mumbai,Kurla,39.9,0.47,0.77,11,33,0.5,10497.0,93.0,159.0,19.235295,72.871019
Mumbai,Goregaon,96.1,0.92,0.73,1,5,0.4,13007.0,92.0,271.0,19.046847,72.871894
Mumbai,Malad,42.1,0.37,0.82,13,26,0.85,23150.0,21.0,86.0,19.020702,72.941585
Mumbai,Powai,58.0,0.62,0.56,2,10,0.59,21191.0,76.0,222.0,19.005466,72.93839
Mumbai,Thane,37.2,0.82,0.43,1,4,0.44,5192.0,61.0,207.0,19.012616,72.857763
Mumbai,Navi Mumbai,88.1,0.64,0.51,1,2,0.63,21845.0,33.0,299.0,19.088815,72.870238
