claim_id,worker_id,city,zone,date,claim_type,inactive_hours,payout_amount,rainfall_mm,aqi,temperature_c,gps_consistent,activity_coherent,timing_correlated,device_clean,confidence_score,is_legitimate,status
CLM-100000,GK-11083,Mumbai,Powai,2025-11-29,Extreme Heat,8.7,504.83,0.0,101,26.4,True,True,True,True,83,True,approved
CLM-100001,GK-11322,Mumbai,Dadar,2025-11-23,Severe AQI,9.4,402.42,0.0,244,31.7,True,True,True,True,85,True,approved
CLM-100002,GK-11061,Delhi,Nehru Place,2026-01-27,Extreme Heat,4.7,314.56,0.0,338,18.3,True,True,True,True,100,True,approved
CLM-100003,GK-10903,Delhi,Connaught Place,2026-01-23,Civic Disruption,6.0,312.95,0.0,176,20.7,False,False,False,False,27,False,rejected
CLM-100004,GK-10844,Delhi,Chandni Chowk,2026-01-06,Extreme Heat,4.7,345.62,0.0,337,31.0,True,True,True,True,100,True,approved
CLM-100005,GK-11851,Chennai,Adyar,2025-11-26,Extreme Heat,9.0,660.56,17.0,61,36.5,False,True,False,True,47,False,rejected
CLM-100006,GK-10963,Delhi,Dwarka,2025-10-09,Severe AQI,8.8,311.25,0.0,90,23.0,False,False,False,True,40,False,rejected
CLM-100007,GK-10511,Chennai,Mylapore,2025-11-23,Severe AQI,5.8,328.52,0.0,244,31.7,False,False,True,False,43,False,rejected
CLM-100008,GK-11425,Delhi,Karol Bagh,2025-12-26,Severe AQI,5.9,274.57,0.0,489,29.8,True,True,True,True,100,True,approved
CLM-100009,GK-10393,Mumbai,Thane,2025-12-05,Extreme Heat,4.1,380.35,0.0,331,21.8,True,True,True,True,100,True,approved
CLM-100010,GK-10402,Chennai,Chromepet,2025-11-26,Flooding,9.9,719.24,85.7,89,33.8,True,True,True,True,100,True,approved
CLM-100011,GK-11973,Delhi,Dwarka,2025-12-06,Severe AQI,7.3,222.21,0.0,461,38.4,False,True,False,True,69,True,review
CLM-100012,GK-10037,Chennai,Anna Nagar,2026-01-31,Flooding,7.7,286.27,0.0,20,30.1,False,False,False,False,26,False,rejected
CLM-100013,GK-11025,Chennai,Sholinganallur,2025-12-22,Heavy Rainfall,4.4,222.74,47.1,57,24.1,True,True,True,True,100,True,approved
CLM-100014,GK-11115,Chennai,Mylapore,2025-10-17,Heavy Rainfall,5.3,206.93,42.9,175,33.6,False,True,True,True,82,True,approved
CLM-100015,GK-11589,Chennai,Anna Nagar,2025-10-20,Flooding,9.5,364.54,63.8,160,37.1,True,True,True,True,100,True,approved
CLM-100016,GK-11740,Mumbai,Malad,2025-12-19,Severe AQI,3.9,423.16,0.0,409,23.4,True,False,True,True,83,True,approved
CLM-100017,GK-10426,Mumbai,Thane,2026-01-26,Civic Disruption,8.6,435.71,0.0,125,23.6,True,True,False,True,65,True,review
