worker_id,city,zone,date,day_of_week,hours_worked,orders_completed,rainfall_mm,aqi,temperature_c,humidity_pct,earnings,target_earnings
GK-11036,Chennai,Anna Nagar,2025-12-27,5,8.4,20,0.0,144,21.5,56.6,1237.84,1237.84
GK-11560,Mumbai,Malad,2026-01-10,5,7.2,20,0.0,63,25.3,52.3,1466.95,1466.95
GK-11427,Chennai,Chromepet,2025-10-29,2,14.0,32,30.7,78,37.4,55.0,1265.07,1265.07
GK-11829,Mumbai,Thane,2025-11-11,1,12.5,34,0.0,212,27.6,67.2,1237.38,1237.38
GK-11891,Chennai,T. Nagar,2026-01-01,3,11.2,18,0.0,137,30.9,48.7,1347.0,1347.0
GK-11431,Mumbai,Powai,2026-03-27,4,8.8,16,0.0,127,29.4,48.4,1444.19,1444.19
GK-11494,Delhi,Rohini,2026-02-24,1,12.5,23,0.0,91,38.6,46.0,1670.05,1670.05
GK-11818,Delhi,Saket,2026-03-26,3,10.7,17,0.0,74,31.9,34.6,1067.18,1067.18
GK-10797,Mumbai,Bandra,2025-10-20,0,10.8,18,0.0,119,27.6,30.4,606.15,606.15
GK-11402,Delhi,Dwarka,2026-02-01,6,11.8,18,0.0,51,35.5,51.3,1457.73,1457.73
GK-10076,Mumbai,Dadar,2026-02-21,5,10.6,23,0.0,155,20.3,62.7,1786.3,1786.3
GK-11563,Delhi,Nehru Place,2026-02-17,1,13.8,40,0.0,105,17.2,49.8,1035.98,1035.98
GK-11031,Mumbai,Navi Mumbai,2026-03-25,2,12.1,34,4.6,66,27.2,58.3,1552.49,1552.49
GK-10073,Delhi,Connaught Place,2025-10-11,5,9.1,18,4.0,20,45.3,56.3,1369.07,1369.07
GK-10065,Chennai,Sholinganallur,2026-03-20,4,12.7,27,0.0,120,30.3,68.0,1633.03,1633.03
GK-11807,Mumbai,Goregaon,2025-12-02,1,13.2,38,0.0,58,19.4,65.9,1311.85,1311.85
GK-11393,Mumbai,Navi Mumbai,2025-11-22,5,5.8,13,0.0,221,25.7,66.6,930.69,930.69
GK-10378,Delhi,Dwarka,2025-12-25,3,8.8,19,9.4,462,22.5,45.5,1195.05,1195.05
GK-10842,Delhi,Dwarka,2026-01-23,4,12.5,29,0.0,431,20.7,61.7,1070.57,1070.57
GK-10383,Chennai,T. Nagar,2025-12-07,6,7.4,20,0.0,105,28.7,69.5,1013.1,1013.1
GK-10367,Mumbai,Powai,2026-03-26,3,5.8,12,0.0,91,36.6,52.4,627.74,627.74
GK-11765,Delhi,Pitampura,2026-01-13,1,6.7,18,0.0,356,23.0,47.6,374.34,374.34
GK-10270,Mumbai,Powai,2025-12-01,0,14.0,22,4.5,127,26.3,40.1,2465.01,2465.01
GK-11491,Mumbai,Navi Mumbai,2026-03-10,1,11.9,28,0.0,151,35.0,50.2,1507.24,1507.24
GK-11769,Mumbai,Powai,2026-02-16,0,14.0,21,0.0,172,29.7,49.9,976.89,976.89
GK-10533,Mumbai,Malad,2026-01-26,0,11.5,27,0.0,100,24.9,50.5,1536.69,1536.69
